"Source:","C:\GH\oomlout_oomp_module_src\modules\ic_usb_to_serial_bridge_sop_16_5_volt_ch340g\working\kicad\current_version\working\working.kicad_sch"
"Date:","12/09/2023 21:32:35"
"Tool:","Eeschema 7.0.6"
"Generator:","C:/Program Files/KiCad/7.0/bin/scripting/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","5"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor","DNP"
"C1","1","c6nf100","c6nf100_electronic_capacitor_0603_100_nano_farad","c6nf100_electronic_capacitor_0603_100_nano_farad","Unpolarized capacitor","",""
"C2","1","c6nf10","c6nf10_electronic_capacitor_0603_10_nano_farad","c6nf10_electronic_capacitor_0603_10_nano_farad","Unpolarized capacitor","",""
"R1, R2","2","r6o102","r6o102_electronic_resistor_0603_1000_ohm","oomlout_oomp_part_footprints:r6o102_electronic_resistor_0603_1000_ohm","Resistor","",""
"U1","1","isp16ch340g","isp16ch340g_electronic_ic_sop_16_converter_usb_to_serial_converter_wch_ch340g","isp16ch340g_electronic_ic_sop_16_converter_usb_to_serial_converter_wch_ch340g","USB serial converter, UART, SOIC-16","",""
